RDATE		MDEALS		LOYALTY		WDEALS		
-----------------------------------------------------------------
23.06.2015		1		4		6		
24.06.2015		5		3		10		
25.06.2015		1		1		11		
26.06.2015		0		1		5		
27.06.2015		5		6		4		
28.06.2015		1		2		5		
29.06.2015		0		0		7		
30.06.2015		2		1		7		
01.07.2015		2		1		13		
02.07.2015		2		0		11		
03.07.2015		5		2		15		
04.07.2015		3		0		9		
05.07.2015		4		1		3		
06.07.2015		3		0		8		
07.07.2015		2		1		11		
08.07.2015		1		0		11		
09.07.2015		1		0		7		
10.07.2015		1		3		4		
11.07.2015		1		0		1		

-		-		-		-		
12.07.2015		2		1		1		
